"","MGM_BLD_PK","ENTIR_ADDR","USE_PURPS_CD","USE_YM","USE_QTY","USE_QTY_ORIGIN","UNIT_CD","ENGY_SPLY_KIK_CD","ENGY_ESNCNO"
"1","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202001,276.523,274,1,1100100000,214657370
"2","41171-28324","경기도 안양시 만안구 안양동 371번지",7,202001,6698.732,7077.432,8,1201000000,6100314364
"3","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202001,210.679,213,1,1100100000,214657487
"4","41171-28325","경기도 안양시 만안구 안양동 371번지",7,202001,876.674,596.8919,8,1201000000,6100314612
"5","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202001,280.356,279,1,1100100000,214657566
"6","41171-28326","경기도 안양시 만안구 안양동 371번지",7,202001,9501.214,10232.43,8,1201000000,6100314830
"7","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202001,170.362,169,1,1100100000,214657389
"8","41171-28327","경기도 안양시 만안구 안양동 371번지",7,202001,4879.025,5116.216,8,1201000000,6100314404
"9","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202001,148.794,149,1,1100100000,214657539
"10","41171-28328","경기도 안양시 만안구 안양동 371번지",7,202001,1535.405,2003.851,8,1201000000,6100314747
"11","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202001,203.736,202,1,1100100000,214657548
"12","41171-28329","경기도 안양시 만안구 안양동 371번지",7,202001,4026.951,4263.514,8,1201000000,6100314764
"13","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202001,108.881,111,1,1100100000,214657469
"14","41171-28330","경기도 안양시 만안구 안양동 371번지",7,202001,1463.71,1534.865,8,1201000000,6100314576
"15","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202001,218.714,216,1,1100100000,214657637
"16","41171-28331","경기도 안양시 만안구 안양동 371번지",7,202001,7189.521,7802.229,8,1201000000,6100315014
"17","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202001,164.884,161,1,1100100000,214657619
"18","41171-28332","경기도 안양시 만안구 안양동 371번지",7,202001,2097.462,2472.838,8,1201000000,6100314984
"19","41171-28333","경기도 안양시 만안구 안양동 371번지",7,202001,202.463,204,1,1100100000,214657520
