"year","시도","시군구","발전소명","연료","발전방식","용량_kW","발전량_MWh"
2023,"강원","강릉시","강릉","일반수력",NA,82000,0
2023,"강원","춘천시","의암","일반수력",NA,48000,131913
2023,"경기","가평군","청평","일반수력",NA,140100,289141
2023,"강원","춘천시","춘천","일반수력",NA,62280,117242
2023,"경북","칠곡군","칠보(섬진강)","일반수력",NA,35000,75875.3
2023,"경기","남양주시","팔당","일반수력",NA,120000,379385
2023,"강원","화천군","화천","일반수력",NA,108000,191904
2023,"경남","진주시","남강(수자원공사)","일반수력",NA,18000,0
2023,"충북","청주시","대청(수자원공사)","일반수력",NA,90000,200037.608
2023,"강원","춘천시","소양강(수자원공사)","일반수력",NA,2e+05,435689.024
2023,"경북","안동시","안동(수자원공사)","일반수력",NA,90000,134895.608
2023,"전북","진안군","용담(수자원공사)","일반수력",NA,22100,118804.1
2023,"경북","안동시","임하(수자원공사)","일반수력",NA,50000,47071.6
2023,"전남","순천시","주암(수자원공사)","일반수력",NA,22500,49827.834
2023,"충북","충주시","충주(수자원공사)","일반수력",NA,412000,765906.225022
2023,"경남","합천군","합천(수자원공사)","일반수력",NA,1e+05,122500.227
2023,"전북","무주군","무주양수","양수",NA,6e+05,512857.1913
2023,"경북","예천군","예천양수","양수",NA,8e+05,768992.1034
2023,"경남","밀양시","삼랑진양수","양수",NA,6e+05,559451.6088
2023,"경기","가평군","청평양수","양수",NA,4e+05,595089.504678
2023,"강원","양양군","양양양수","양수",NA,1e+06,445790.19
2023,"경남","산청군","산청양수","양수",NA,7e+05,615201.49541
2023,"경북","청송군","청송양수","양수",NA,6e+05,286494.9862
2023,"강원","횡성군","강림소수력","소수력",NA,450,1387.424
2023,"충북","괴산군","괴산소수력","소수력",NA,2600,5803.5
2023,"전북","무주군","무주양수 소수력","소수력",NA,400,727.756416
2023,"충남","보령시","보령화력소수력#1","소수력",NA,5000,7071.266425
2023,"충남","보령시","보령화력소수력#2","소수력",NA,2500,4389.219688
2023,"전남","보성군","보성강수력","소수력",NA,4500,16978.68
2023,"경남","산청군","산청소수력","소수력",NA,995,4408.845432
2023,"강원","삼척시","삼척그린파워 해양소수력","소수력",NA,2750,10889.8562
2023,"경남","고성군","삼천포해양소수력","소수력",NA,5000,17808.30064
2023,"충남","보령시","신보령소수력","소수력",NA,5000,16570.69914
2023,"충남","서천군","신서천화력소수력","소수력",NA,2586,881.612709
2023,"강원","양양군","양양양수 신소수력","소수력",NA,150,930.457293
2023,"강원","양양군","양양양수소수력","소수력",NA,1400,4349.27508
2023,"인천","옹진군","영흥소수력#1","소수력",NA,3000,4036.99
2023,"인천","옹진군","영흥해양소수력#2","소수력",NA,4599,0.385617
2023,"인천","옹진군","영흥해양수력#3","소수력",NA,5000,9241.27128
2023,"경북","예천군","예천소수력","소수력",NA,900,1978.215704
2023,"충남","태안군","태안소수력#1","소수력",NA,2200,2961.882342
2023,"충남","태안군","태안소수력#2","소수력",NA,5000,7409.873746
2023,"제주","제주시","행원소수력","소수력",NA,60,2.95984
2023,"경북","울릉군","추산소수력(도서)","소수력",NA,700,2157.975
2023,"-","-","[PPA] 한수원","소수력",NA,25,168.6267
2023,"강원","동해시","동해#1","무연탄",NA,2e+05,1025321.11
2023,"강원","동해시","동해#2","무연탄",NA,2e+05,850566.476
2023,"충남","당진시","당진#1","유연탄",NA,5e+05,2065666.540001
2023,"충남","당진시","당진#2","유연탄",NA,5e+05,2045317.054
2023,"충남","당진시","당진#3","유연탄",NA,5e+05,333071.302
2023,"충남","당진시","당진#4","유연탄",NA,5e+05,2695610.575
2023,"충남","당진시","당진#5","유연탄",NA,5e+05,2630749.58
2023,"충남","당진시","당진#6","유연탄",NA,5e+05,2317654.451
2023,"충남","당진시","당진#7","유연탄",NA,5e+05,2277644.453
2023,"충남","당진시","당진#8","유연탄",NA,5e+05,1655849.587
2023,"충남","당진시","당진#9","유연탄",NA,1020000,6161353.419
2023,"충남","당진시","당진#10","유연탄",NA,1020000,5014351.32
2023,"충남","보령시","보령#3","유연탄",NA,550000,3233884.021
2023,"충남","보령시","보령#4","유연탄",NA,5e+05,2158891.017
2023,"충남","보령시","보령#5","유연탄",NA,5e+05,2377108
2023,"충남","보령시","보령#6","유연탄",NA,5e+05,2606630
2023,"충남","보령시","보령#7","유연탄",NA,5e+05,2597061.784005
2023,"충남","보령시","보령#8","유연탄",NA,5e+05,3016049.035999
2023,"강원","삼척시","삼척그린파워#1","유연탄",NA,1022000,4393446.013602
2023,"강원","삼척시","삼척그린파워#2","유연탄",NA,1022000,4473574.1034
2023,"경남","고성군","삼천포#3","유연탄",NA,560000,3208877.000001
2023,"경남","고성군","삼천포#4","유연탄",NA,560000,2247058.999998
2023,"경남","고성군","삼천포#5","유연탄",NA,5e+05,2448905
2023,"경남","고성군","삼천포#6","유연탄",NA,5e+05,3373925.000001
2023,"충남","보령시","신보령#1","유연탄",NA,1019029,5231564.563
2023,"충남","보령시","신보령#2","유연탄",NA,1019029,6472650.007
2023,"충남","서천군","신서천#1","유연탄",NA,1018000,3522785
2023,"전남","여수시","여수#1","유연탄",NA,340000,1978882
2023,"전남","여수시","여수#2","유연탄",NA,328600,1214889
2023,"인천","옹진군","영흥#1","유연탄",NA,8e+05,0
2023,"인천","옹진군","영흥#2","유연탄",NA,8e+05,0
2023,"인천","옹진군","영흥#3","유연탄",NA,870000,5582350.189
2023,"인천","옹진군","영흥#4","유연탄",NA,870000,5596429.848
2023,"인천","옹진군","영흥#5","유연탄",NA,870000,5446548
2023,"인천","옹진군","영흥#6","유연탄",NA,870000,5549043
2023,"충남","태안군","태안#1","유연탄",NA,5e+05,2738314.8916
2023,"충남","태안군","태안#2","유연탄",NA,5e+05,2222772.999301
2023,"충남","태안군","태안#3","유연탄",NA,5e+05,2869257.871101
2023,"충남","태안군","태안#4","유연탄",NA,5e+05,1699135.612374
2023,"충남","태안군","태안#5","유연탄",NA,5e+05,1379816.8451
2023,"충남","태안군","태안#6","유연탄",NA,5e+05,1672890.2
2023,"충남","태안군","태안#7","유연탄",NA,5e+05,2829789.3451
2023,"충남","태안군","태안#8","유연탄",NA,5e+05,1999597.095001
2023,"충남","태안군","태안#9","유연탄",NA,1050000,5104759.889
2023,"충남","태안군","태안#10","유연탄",NA,1050000,5646463.4593
2023,"경남","하동군","하동#1","유연탄",NA,5e+05,1930436.691541
2023,"경남","하동군","하동#2","유연탄",NA,5e+05,1988844.75238
2023,"경남","하동군","하동#3","유연탄",NA,5e+05,2356084.581669
2023,"경남","하동군","하동#4","유연탄",NA,5e+05,1872711.617416
2023,"경남","하동군","하동#5","유연탄",NA,5e+05,2294932.34472
2023,"경남","하동군","하동#6","유연탄",NA,5e+05,2105432.153848
2023,"경남","하동군","하동#7","유연탄",NA,5e+05,2503289.603998
2023,"경남","하동군","하동#8","유연탄",NA,5e+05,1837037.645
2023,"강원","동해시","북평#1","유연탄",NA,595000,3087769.012
2023,"강원","동해시","북평#2","유연탄",NA,595000,2978806.208
2023,"강원","고성군","고성#1","유연탄",NA,1040000,5393547.0108
2023,"강원","고성군","고성#2","유연탄",NA,1040000,6853479.4998
2023,"강원","삼척시","삼척#1","유연탄",NA,0,110405.9862
2023,"강원","강릉시","강릉안인#1","유연탄",NA,1040000,5815739.7686
2023,"강원","강릉시","강릉안인#2","유연탄",NA,1040000,4169461.64
2023,"경기","평택시","평택#1","가스","기력",350000,375931.999999
2023,"경기","평택시","평택#2","가스","기력",350000,178043
2023,"경기","평택시","평택#3","가스","기력",350000,123556
2023,"경기","평택시","평택#4","가스","기력",350000,200577
2023,"전북","군산시","군산C/C","가스","복합",718400,998074.51206
2023,"충남","보령시","보령C/C","가스","복합",1350000,962744
2023,"부산","사하구","부산C/C","가스","복합",1800000,6258318
2023,"경기","성남시","분당C/C","가스","복합",922064,2322877.997
2023,"서울","마포구","서울C/C","가스","복합",738346,4434784
2023,"인천","서구","서인천C/C","가스","복합",1800000,3521386
2023,"인천","서구","신인천C/C","가스","복합",1800000,3629066.244
2023,"경북","안동시","안동C/C","가스","복합",361600,1473752.3004
2023,"강원","영월군","영월C/C","가스","복합",848000,507145
2023,"울산","남구","울산C/C","가스","복합",2071900,4902967.290507
2023,"인천","서구","인천C/C","가스","복합",1462447,4481601.88
2023,"경기","고양시","일산C/C","가스","복합",9e+05,1322915.343
2023,"제주","제주시","제주C/C","가스","복합",228734,1216741.99
2023,"경기","평택시","평택C/C","가스","복합",868500,4749151
2023,"제주","제주시","한림C/C","가스","복합",105000,210398.6
2023,"제주","서귀포시","남제주C/C","유류","복합",146245,277935.076387
2023,"울산","울주군","고려아연C/C","가스","복합",0,138587.855616
2023,"전남","광양시","광양C/C","가스","복합",989200,5737339.268152
2023,"충남","당진시","당진C/C","가스","복합",2261750,8099141.574
2023,"경기","동두천시","동두천C/C","가스","복합",1716800,8093209.4942
2023,"부산","기장군","부산정관에너지","가스","복합",45836,3399.32453
2023,"경기","평택시","신평택C/C","가스","복합",863300,5190420.61728
2023,"경기","안산시","안산C/C","가스","복합",751200,4614702.6151
2023,"경기","여주시","여주C/C","가스","복합",1025400,4132060.657764
2023,"울산","남구","영남파워","가스","복합",442800,1857163.31224
2023,"경기","평택시","오성C/C","가스","복합",769830,3091626.9664
2023,"전남","광양시","율촌C/C","가스","복합",1389700,5384128.4
2023,"경기","이천시","이천SEC C/C","가스","복합",0,536762.99784
2023,"경기","파주시","파주문산C/C","가스","복합",1695200,10898563.64488
2023,"인천","서구","포스코에너지C/C","가스","복합",3176000,11213503
2023,"경기","포천시","포천C/C","가스","복합",1450000,4717921.146
2023,"경기","포천시","포천천연C/C","가스","복합",874200,3789071.5196
2023,"경남","하동군","대산C/C","유류","복합",465800,33736.503192
2023,"부산","기장군","고리#2","원자력",NA,650000,1596779
2023,"부산","기장군","고리#3","원자력",NA,950000,6219087.155821
2023,"부산","기장군","고리#4","원자력",NA,950000,4304571.187421
2023,"부산","기장군","신고리#1","원자력",NA,1e+06,9197977.738
2023,"부산","기장군","신고리#2","원자력",NA,1e+06,9190875.268
2023,"울산","울주군","새울#1","원자력",NA,1400000,9602701.789
2023,"울산","울주군","새울#2","원자력",NA,1400000,12940627.563
2023,"경북","경주시","월성#2","원자력",NA,7e+05,4539158
2023,"경북","경주시","월성#3","원자력",NA,7e+05,4757088.068
2023,"경북","경주시","월성#4","원자력",NA,7e+05,4594469.212
2023,"경북","경주시","신월성#1","원자력",NA,1e+06,7791174.314
2023,"경북","경주시","신월성#2","원자력",NA,1e+06,9128814.641
2023,"전남","영광군","한빛#1","원자력",NA,950000,8224806.108
2023,"전남","영광군","한빛#2","원자력",NA,950000,6084275.544
2023,"전남","영광군","한빛#3","원자력",NA,1e+06,9185512.345
2023,"전남","영광군","한빛#4","원자력",NA,1e+06,9172203.322
2023,"전남","영광군","한빛#5","원자력",NA,1e+06,1468762.001
2023,"전남","영광군","한빛#6","원자력",NA,1e+06,7817397
2023,"경북","울진군","한울#1","원자력",NA,950000,6614922.668
2023,"경북","울진군","한울#2","원자력",NA,950000,5923077.781
2023,"경북","울진군","한울#3","원자력",NA,1e+06,7229282.64
