"year","시도","시군구","발전소명","연료","발전방식","용량_kW","발전량_MWh"
2017,"경기","가평군","청평양수","양수",NA,4e+05,267127.82911
2017,"경기","고양시","일산C/C","가스","복합",9e+05,1072761.45
2017,"경기","남양주시","별내열병합","가스","집단",115410,225050.002282
2017,"경기","동두천시","동두천C/C","가스","복합",1716800,7337792.6557
2017,"경기","성남시","분당C/C","가스","복합",922064,2261342.00084
2017,"경기","성남시","판교열병합","가스","집단",146314,893556.67436
2017,"경기","수원시","광교열병합","가스","집단",144788,781334.7688
2017,"경기","수원시","수원열병합","유류","집단",43200,49647.475006
2017,"경기","안산시","반월열병합","석탄","집단",76955,399160.15266
2017,"경기","안산시","안산C/C","가스","복합",751200,4452409.4831
2017,"경기","안산시","안산열병합","가스","집단",60000,8658.276708
2017,"경기","오산시","명품오산열병합","가스","집단",436100,3254887.0638
2017,"경기","파주시","파주문산C/C","가스","복합",1695200,10255510.72123
2017,"경기","파주시","파주열병합","가스","집단",515500,2438807.03986
2017,"경기","평택시","오성C/C","가스","복합",769830,2543569.7156
2017,"경기","평택시","평택#1","가스","기력",350000,215503
2017,"경기","평택시","평택#2","가스","기력",350000,256905
2017,"경기","평택시","평택#3","가스","기력",350000,242628
2017,"경기","평택시","평택#4","가스","기력",350000,366515
2017,"경기","평택시","평택C/C","가스","복합",1348500,2935954
2017,"경기","포천시","포천C/C","가스","복합",1450000,4138764.5006
2017,"경기","포천시","포천천연C/C","가스","복합",874200,3680759.5848
2017,"경기","하남시","위례열병합","가스","집단",412600,2531390.90904
2017,"경기","하남시","하남열병합","가스","집단",363811,2012403.36826
2017,"경기","화성시","동탄열병합","가스","집단",756760,944018.51656
2018,"경기","가평군","청평양수","양수",NA,4e+05,274363.70172
2018,"경기","고양시","일산C/C","가스","복합",9e+05,1232652.815
2018,"경기","남양주시","별내열병합","가스","집단",115410,298655.792918
2018,"경기","동두천시","동두천C/C","가스","복합",1716800,6758937.96891
2018,"경기","부천시","부천복합","가스","집단",450000,1050024.37312
2018,"경기","성남시","분당C/C","가스","복합",922064,2082890
2018,"경기","성남시","판교열병합","가스","집단",146314,895425.22343
2018,"경기","수원시","광교열병합","가스","집단",144788,483157.9704
2018,"경기","수원시","수원열병합","유류","집단",43200,49236.00214
2018,"경기","안산시","반월열병합","석탄","집단",76955,388238.461988
2018,"경기","안산시","안산C/C","가스","복합",751200,4495545.71776
2018,"경기","안산시","안산열병합","가스","집단",60000,8912.291388
2018,"경기","안양시","안양열병합","가스","집단",931690,2430968.94477
2018,"경기","오산시","명품오산열병합","가스","집단",436100,3067600.00661
2018,"경기","파주시","파주문산C/C","가스","복합",1695200,12022120.0516
2018,"경기","파주시","파주열병합","가스","집단",515500,2531998.17891
2018,"경기","평택시","오성C/C","가스","복합",769830,3105146.7104
2018,"경기","평택시","평택#1","가스","기력",350000,194308
2018,"경기","평택시","평택#2","가스","기력",350000,367629
2018,"경기","평택시","평택#3","가스","기력",350000,392161
2018,"경기","평택시","평택#4","가스","기력",350000,314805
2018,"경기","평택시","평택C/C","가스","복합",868500,4346034.517876
2018,"경기","포천시","포천C/C","가스","복합",1450000,3690621.2112
2018,"경기","포천시","포천그린에너지","석탄","집단",169900,26988.92
