"SIDO","SIGUNGU","SIDO_SIGUNGU_NM","year","value","Units"
"강원","강릉시","강원_강릉시","2010",3705959,"Milwon"
"강원","강릉시","강원_강릉시","2011",3866396,"Milwon"
"강원","강릉시","강원_강릉시","2012",4001286,"Milwon"
"강원","강릉시","강원_강릉시","2013",4091570,"Milwon"
"강원","강릉시","강원_강릉시","2014",4374447,"Milwon"
"강원","강릉시","강원_강릉시","2015",4740366,"Milwon"
"강원","강릉시","강원_강릉시","2016",5019567,"Milwon"
"강원","강릉시","강원_강릉시","2017",5295106,"Milwon"
"강원","강릉시","강원_강릉시","2018",5326931,"Milwon"
"강원","강릉시","강원_강릉시","2019",5651552,"Milwon"
"강원","강릉시","강원_강릉시","2020",6092737,"Milwon"
"강원","강릉시","강원_강릉시","2021",6321485,"Milwon"
"강원","고성군","강원_고성군","2010",722612,"Milwon"
"강원","고성군","강원_고성군","2011",762700,"Milwon"
"강원","고성군","강원_고성군","2012",814201,"Milwon"
"강원","고성군","강원_고성군","2013",811177,"Milwon"
"강원","고성군","강원_고성군","2014",846914,"Milwon"
"강원","고성군","강원_고성군","2015",900623,"Milwon"
"강원","고성군","강원_고성군","2016",942735,"Milwon"
"강원","고성군","강원_고성군","2017",984633,"Milwon"
"강원","고성군","강원_고성군","2018",1051002,"Milwon"
"강원","고성군","강원_고성군","2019",1194471,"Milwon"
"강원","고성군","강원_고성군","2020",1290653,"Milwon"
"강원","고성군","강원_고성군","2021",1339210,"Milwon"
"강원","동해시","강원_동해시","2010",2325739,"Milwon"
"강원","동해시","강원_동해시","2011",2264055,"Milwon"
"강원","동해시","강원_동해시","2012",2461228,"Milwon"
"강원","동해시","강원_동해시","2013",2470471,"Milwon"
"강원","동해시","강원_동해시","2014",2759986,"Milwon"
"강원","동해시","강원_동해시","2015",2798341,"Milwon"
"강원","동해시","강원_동해시","2016",2733073,"Milwon"
"강원","동해시","강원_동해시","2017",3047017,"Milwon"
"강원","동해시","강원_동해시","2018",3161368,"Milwon"
"강원","동해시","강원_동해시","2019",3249883,"Milwon"
"강원","동해시","강원_동해시","2020",3168301,"Milwon"
"강원","동해시","강원_동해시","2021",3353305,"Milwon"
"강원","삼척시","강원_삼척시","2010",1555088,"Milwon"
"강원","삼척시","강원_삼척시","2011",1673112,"Milwon"
"강원","삼척시","강원_삼척시","2012",1976268,"Milwon"
"강원","삼척시","강원_삼척시","2013",2412487,"Milwon"
"강원","삼척시","강원_삼척시","2014",2696261,"Milwon"
"강원","삼척시","강원_삼척시","2015",2668720,"Milwon"
"강원","삼척시","강원_삼척시","2016",2337032,"Milwon"
"강원","삼척시","강원_삼척시","2017",2369474,"Milwon"
"강원","삼척시","강원_삼척시","2018",2383505,"Milwon"
"강원","삼척시","강원_삼척시","2019",2605220,"Milwon"
"강원","삼척시","강원_삼척시","2020",2606300,"Milwon"
"강원","삼척시","강원_삼척시","2021",2805066,"Milwon"
"강원","속초시","강원_속초시","2010",1230671,"Milwon"
"강원","속초시","강원_속초시","2011",1268154,"Milwon"
"강원","속초시","강원_속초시","2012",1238081,"Milwon"
"강원","속초시","강원_속초시","2013",1277256,"Milwon"
"강원","속초시","강원_속초시","2014",1353671,"Milwon"
"강원","속초시","강원_속초시","2015",1401515,"Milwon"
"강원","속초시","강원_속초시","2016",1547535,"Milwon"
"강원","속초시","강원_속초시","2017",1710435,"Milwon"
"강원","속초시","강원_속초시","2018",1740238,"Milwon"
"강원","속초시","강원_속초시","2019",1931948,"Milwon"
"강원","속초시","강원_속초시","2020",1848311,"Milwon"
"강원","속초시","강원_속초시","2021",1959973,"Milwon"
"강원","양구군","강원_양구군","2010",623529,"Milwon"
"강원","양구군","강원_양구군","2011",657980,"Milwon"
"강원","양구군","강원_양구군","2012",737192,"Milwon"
"강원","양구군","강원_양구군","2013",734530,"Milwon"
"강원","양구군","강원_양구군","2014",739788,"Milwon"
"강원","양구군","강원_양구군","2015",768477,"Milwon"
"강원","양구군","강원_양구군","2016",805195,"Milwon"
"강원","양구군","강원_양구군","2017",850230,"Milwon"
"강원","양구군","강원_양구군","2018",951402,"Milwon"
"강원","양구군","강원_양구군","2019",1017843,"Milwon"
"강원","양구군","강원_양구군","2020",1016499,"Milwon"
"강원","양구군","강원_양구군","2021",1104871,"Milwon"
"강원","양양군","강원_양양군","2010",732959,"Milwon"
"강원","양양군","강원_양양군","2011",690453,"Milwon"
"강원","양양군","강원_양양군","2012",720801,"Milwon"
"강원","양양군","강원_양양군","2013",743456,"Milwon"
"강원","양양군","강원_양양군","2014",809245,"Milwon"
"강원","양양군","강원_양양군","2015",861852,"Milwon"
"강원","양양군","강원_양양군","2016",895285,"Milwon"
