"SIDO","SIGUNGU","SIDO_SIGUNGU_NM","year","value","Units"
"강원","강릉시","강원_강릉시","1992",221854,"people"
"강원","강릉시","강원_강릉시","1993",222423,"people"
"강원","강릉시","강원_강릉시","1994",222917,"people"
"강원","강릉시","강원_강릉시","1995",223539,"people"
"강원","강릉시","강원_강릉시","1996",224111,"people"
"강원","강릉시","강원_강릉시","1997",225528,"people"
"강원","강릉시","강원_강릉시","1998",229449,"people"
"강원","강릉시","강원_강릉시","1999",232067,"people"
"강원","강릉시","강원_강릉시","2000",233121,"people"
"강원","강릉시","강원_강릉시","2001",231943,"people"
"강원","강릉시","강원_강릉시","2002",229869,"people"
"강원","강릉시","강원_강릉시","2003",229073,"people"
"강원","강릉시","강원_강릉시","2004",227259,"people"
"강원","강릉시","강원_강릉시","2005",224391,"people"
"강원","강릉시","강원_강릉시","2006",222016,"people"
"강원","강릉시","강원_강릉시","2007",220484,"people"
"강원","강릉시","강원_강릉시","2008",218399,"people"
"강원","강릉시","강원_강릉시","2009",217464,"people"
"강원","강릉시","강원_강릉시","2010",218503,"people"
"강원","강릉시","강원_강릉시","2011",217571,"people"
"강원","강릉시","강원_강릉시","2012",217741,"people"
"강원","강릉시","강원_강릉시","2013",216806,"people"
"강원","강릉시","강원_강릉시","2014",215807,"people"
"강원","강릉시","강원_강릉시","2015",214560,"people"
"강원","강릉시","강원_강릉시","2016",213846,"people"
"강원","강릉시","강원_강릉시","2017",213952,"people"
"강원","강릉시","강원_강릉시","2018",212957,"people"
"강원","강릉시","강원_강릉시","2019",213442,"people"
"강원","강릉시","강원_강릉시","2020",213321,"people"
"강원","강릉시","강원_강릉시","2021",212965,"people"
"강원","강릉시","강원_강릉시","2022",211381,"people"
"강원","강릉시","강원_강릉시","2023",209439,"people"
"강원","강릉시","강원_강릉시","2024",207731,"people"
"강원","고성군","강원_고성군","1992",41592,"people"
"강원","고성군","강원_고성군","1993",40482,"people"
"강원","고성군","강원_고성군","1994",39454,"people"
"강원","고성군","강원_고성군","1995",39005,"people"
"강원","고성군","강원_고성군","1996",38142,"people"
"강원","고성군","강원_고성군","1997",37384,"people"
"강원","고성군","강원_고성군","1998",37319,"people"
"강원","고성군","강원_고성군","1999",36369,"people"
"강원","고성군","강원_고성군","2000",35391,"people"
"강원","고성군","강원_고성군","2001",34643,"people"
"강원","고성군","강원_고성군","2002",33721,"people"
"강원","고성군","강원_고성군","2003",32739,"people"
"강원","고성군","강원_고성군","2004",32361,"people"
"강원","고성군","강원_고성군","2005",31964,"people"
"강원","고성군","강원_고성군","2006",31285,"people"
"강원","고성군","강원_고성군","2007",30383,"people"
"강원","고성군","강원_고성군","2008",30172,"people"
"강원","고성군","강원_고성군","2009",30272,"people"
"강원","고성군","강원_고성군","2010",30112,"people"
"강원","고성군","강원_고성군","2011",30057,"people"
"강원","고성군","강원_고성군","2012",30124,"people"
"강원","고성군","강원_고성군","2013",30398,"people"
"강원","고성군","강원_고성군","2014",30269,"people"
"강원","고성군","강원_고성군","2015",30060,"people"
"강원","고성군","강원_고성군","2016",30114,"people"
"강원","고성군","강원_고성군","2017",30029,"people"
"강원","고성군","강원_고성군","2018",28144,"people"
"강원","고성군","강원_고성군","2019",27260,"people"
"강원","고성군","강원_고성군","2020",26757,"people"
"강원","고성군","강원_고성군","2021",27249,"people"
"강원","고성군","강원_고성군","2022",27274,"people"
"강원","고성군","강원_고성군","2023",27305,"people"
"강원","고성군","강원_고성군","2024",26999,"people"
"강원","동해시","강원_동해시","1992",96293,"people"
"강원","동해시","강원_동해시","1993",97734,"people"
"강원","동해시","강원_동해시","1994",99126,"people"
"강원","동해시","강원_동해시","1995",100277,"people"
"강원","동해시","강원_동해시","1996",101912,"people"
"강원","동해시","강원_동해시","1997",103112,"people"
"강원","동해시","강원_동해시","1998",103474,"people"
"강원","동해시","강원_동해시","1999",103704,"people"
"강원","동해시","강원_동해시","2000",103654,"people"
"강원","동해시","강원_동해시","2001",103570,"people"
"강원","동해시","강원_동해시","2002",102857,"people"
"강원","동해시","강원_동해시","2003",101764,"people"
"강원","동해시","강원_동해시","2004",100727,"people"
"강원","동해시","강원_동해시","2005",99230,"people"
"강원","동해시","강원_동해시","2006",97497,"people"
"강원","동해시","강원_동해시","2007",96652,"people"
"강원","동해시","강원_동해시","2008",95652,"people"
"강원","동해시","강원_동해시","2009",95271,"people"
"강원","동해시","강원_동해시","2010",95236,"people"
"강원","동해시","강원_동해시","2011",95804,"people"
"강원","동해시","강원_동해시","2012",93897,"people"
"강원","동해시","강원_동해시","2013",95143,"people"
"강원","동해시","강원_동해시","2014",94562,"people"
"강원","동해시","강원_동해시","2015",93895,"people"
"강원","동해시","강원_동해시","2016",93297,"people"
"강원","동해시","강원_동해시","2017",92851,"people"
"강원","동해시","강원_동해시","2018",91272,"people"
"강원","동해시","강원_동해시","2019",90522,"people"
"강원","동해시","강원_동해시","2020",90593,"people"
"강원","동해시","강원_동해시","2021",90081,"people"
"강원","동해시","강원_동해시","2022",89426,"people"
"강원","동해시","강원_동해시","2023",88625,"people"
"강원","동해시","강원_동해시","2024",87675,"people"
"강원","삼척시","강원_삼척시","1992",99997,"people"
"강원","삼척시","강원_삼척시","1993",96698,"people"
"강원","삼척시","강원_삼척시","1994",92749,"people"
"강원","삼척시","강원_삼척시","1995",90005,"people"
"강원","삼척시","강원_삼척시","1996",87303,"people"
"강원","삼척시","강원_삼척시","1997",86016,"people"
"강원","삼척시","강원_삼척시","1998",85846,"people"
"강원","삼척시","강원_삼척시","1999",84523,"people"
"강원","삼척시","강원_삼척시","2000",82177,"people"
"강원","삼척시","강원_삼척시","2001",79770,"people"
"강원","삼척시","강원_삼척시","2002",77434,"people"
"강원","삼척시","강원_삼척시","2003",75759,"people"
"강원","삼척시","강원_삼척시","2004",74301,"people"
"강원","삼척시","강원_삼척시","2005",73134,"people"
"강원","삼척시","강원_삼척시","2006",71750,"people"
"강원","삼척시","강원_삼척시","2007",70791,"people"
"강원","삼척시","강원_삼척시","2008",70954,"people"
"강원","삼척시","강원_삼척시","2009",71935,"people"
"강원","삼척시","강원_삼척시","2010",72046,"people"
"강원","삼척시","강원_삼척시","2011",72312,"people"
"강원","삼척시","강원_삼척시","2012",72463,"people"
"강원","삼척시","강원_삼척시","2013",73023,"people"
"강원","삼척시","강원_삼척시","2014",72314,"people"
"강원","삼척시","강원_삼척시","2015",70839,"people"
