year,SIDO,SGG,technology,purpose,value,unit
2019,서울,종로구,PV,전체,2784.410811,MWh
2019,서울,종로구,PV,사업용,80.055,MWh
2019,서울,종로구,PV,자가용,2704.355811,MWh
2019,서울,중구,PV,전체,2216.105901,MWh
2019,서울,중구,PV,사업용,1224.346,MWh
2019,서울,중구,PV,자가용,991.7599009,MWh
2019,서울,용산구,PV,전체,1101.841458,MWh
2019,서울,용산구,PV,사업용,49.807,MWh
2019,서울,용산구,PV,자가용,1052.034458,MWh
2019,서울,성동구,PV,전체,7420.993577,MWh
2019,서울,성동구,PV,사업용,4354.411,MWh
2019,서울,성동구,PV,자가용,3066.582577,MWh
2019,서울,광진구,PV,전체,6273.5634,MWh
2019,서울,광진구,PV,사업용,2184.16312,MWh
2019,서울,광진구,PV,자가용,4089.40028,MWh
2019,서울,동대문구,PV,전체,4331.338037,MWh
2019,서울,동대문구,PV,사업용,520.931,MWh
2019,서울,동대문구,PV,자가용,3810.407037,MWh
2019,서울,중랑구,PV,전체,4463.615114,MWh
2019,서울,중랑구,PV,사업용,1030.146,MWh
2019,서울,중랑구,PV,자가용,3433.469114,MWh
2019,서울,성북구,PV,전체,5041.162546,MWh
2019,서울,성북구,PV,사업용,758.515,MWh
2019,서울,성북구,PV,자가용,4282.647546,MWh
2019,서울,강북구,PV,전체,3290.013828,MWh
2019,서울,강북구,PV,사업용,727.29,MWh
2019,서울,강북구,PV,자가용,2562.723828,MWh
2019,서울,도봉구,PV,전체,3903.209258,MWh
2019,서울,도봉구,PV,사업용,743.562,MWh
2019,서울,도봉구,PV,자가용,3159.647258,MWh
2019,서울,노원구,PV,전체,8671.321765,MWh
2019,서울,노원구,PV,사업용,1170.97,MWh
2019,서울,노원구,PV,자가용,7500.351765,MWh
2019,서울,은평구,PV,전체,5013.620039,MWh
2019,서울,은평구,PV,사업용,716.788,MWh
2019,서울,은평구,PV,자가용,4296.832039,MWh
2019,서울,서대문구,PV,전체,3763.165811,MWh
2019,서울,서대문구,PV,사업용,606.479,MWh
2019,서울,서대문구,PV,자가용,3156.686811,MWh
2019,서울,마포구,PV,전체,6057.240127,MWh
2019,서울,마포구,PV,사업용,432.276694,MWh
2019,서울,마포구,PV,자가용,5624.963433,MWh
2019,서울,양천구,PV,전체,4518.339561,MWh
2019,서울,양천구,PV,사업용,516.703,MWh
2019,서울,양천구,PV,자가용,4001.636561,MWh
2019,서울,강서구,PV,전체,15068.29161,MWh
2019,서울,강서구,PV,사업용,8479.878627,MWh
2019,서울,강서구,PV,자가용,6588.412983,MWh
2019,서울,구로구,PV,전체,5480.873688,MWh
2019,서울,구로구,PV,사업용,1283.349,MWh
2019,서울,구로구,PV,자가용,4197.524688,MWh
2019,서울,금천구,PV,전체,3276.015223,MWh
2019,서울,금천구,PV,사업용,849.485,MWh
2019,서울,금천구,PV,자가용,2426.530223,MWh
2019,서울,영등포구,PV,전체,4336.217889,MWh
2019,서울,영등포구,PV,사업용,581.389,MWh
2019,서울,영등포구,PV,자가용,3754.828889,MWh
2019,서울,동작구,PV,전체,4015.352629,MWh
2019,서울,동작구,PV,사업용,514.819,MWh
2019,서울,동작구,PV,자가용,3500.533629,MWh
2019,서울,관악구,PV,전체,6059.179424,MWh
2019,서울,관악구,PV,사업용,900.549,MWh
2019,서울,관악구,PV,자가용,5158.630424,MWh
2019,서울,서초구,PV,전체,5390.770749,MWh
2019,서울,서초구,PV,사업용,469.19138,MWh
2019,서울,서초구,PV,자가용,4921.579369,MWh
